degree_id,degree_name,degree_code,created_at
287,Positive Leadership,POLDIS,2026-02-22 11:50:04.268711+00
293,Graduate Diploma of Writing,GD-WRI,2026-02-22 11:50:04.268711+00
294,Graduate Diploma of Aviation,GD-AV,2026-02-22 11:50:04.268711+00
295,Master of Occupational Therapy,MA-OCC,2026-02-22 11:50:04.268711+00
296,Masterclass: The Art of Workplace Storytelling,WPSTTIS,2026-02-22 11:50:04.268711+00
297,Master of Marketing,MA-MKT1,2026-02-22 11:50:04.268711+00
298,Bachelor of Science/Bachelor of Applied Innovation,BB-SC2AIN,2026-02-22 11:50:04.268711+00
299,Contract Management Essentials,CMESIS,2026-02-22 11:50:04.268711+00
302,Graduate Diploma of Professional Accounting,GD-PACC,2026-02-22 11:50:04.268711+00
303,Certificate IV in Community Services,CHC42021,2026-02-22 11:50:04.268711+00
304,Breakthrough Lab,DFM-IAAS,2026-02-22 11:50:04.268711+00
305,Bachelor of Laws/Bachelor of Engineering,Honours,2026-02-22 11:50:04.268711+00
306,Course in EAL,22483VIC,2026-02-22 11:50:04.268711+00
307,Advanced Diploma of Graphic Design,CUA60320,2026-02-22 11:50:04.268711+00
308,Bachelor of Aviation Management,BA-AVMGT,2026-02-22 11:50:04.268711+00
309,Mastering the Art of Workplace Storytelling - Online,WPSTTIS-O,2026-02-22 11:50:04.268711+00
310,Diploma of Screen and Media,CUA51020,2026-02-22 11:50:04.268711+00
311,Graduate Certificate of Research and Innovation Management,GC-RESIM,2026-02-22 11:50:04.268711+00
312,Master of Engineering,Research,2026-02-22 11:50:04.268711+00
313,Business Writing Skills,BUSSIS,2026-02-22 11:50:04.268711+00
318,Graduate Certificate of Financial Planning,GC-FINPLS,2026-02-22 11:50:04.268711+00
319,Diploma of Community Services,CHC52015,2026-02-22 11:50:04.268711+00
320,Certificate IV in Leisure and Health,CHC43415,2026-02-22 11:50:04.268711+00
321,Advanced Diploma of Creative Product Development,CUA60420,2026-02-22 11:50:04.268711+00
322,Robotics Play and STEM for Teachers,NC-STEM01,2026-02-22 11:50:04.268711+00
323,Master of Data Science,MA-DATASC,2026-02-22 11:50:04.268711+00
324,Bachelor of Aviation/Bachelor of Business,BB-AVBUS3,2026-02-22 11:50:04.268711+00
327,Certificate IV in Accounting and Bookkeeping,FNS40222,2026-02-22 11:50:04.268711+00
328,Certificate III in Electrotechnology Electrician,UEE30820,2026-02-22 11:50:04.268711+00
330,Business Analysis,AGBAIS,2026-02-22 11:50:04.268711+00
332,Certificate IV in Circus Arts,10824NAT,2026-02-22 11:50:04.268711+00
333,Bachelor of Education Studies,BA-EDUST,2026-02-22 11:50:04.268711+00
335,Graduate Diploma in Clinical Supervision,GD-CLSUP,2026-02-22 11:50:04.268711+00
337,Diploma of Teacher Education Preparation,22602VIC,2026-02-22 11:50:04.268711+00
338,Master of Dietetics,MA-DIET,2026-02-22 11:50:04.268711+00
339,Certificate III in General Education for Adults,22474VIC,2026-02-22 11:50:04.268711+00
340,Bachelor of Criminal Justice and Criminology/Bachelor of Applied Innovation,BB-CJCAIN,2026-02-22 11:50:04.268711+00
341,Bachelor of Aviation and Piloting / Bachelor of Business,BB-AVPBUS,2026-02-22 11:50:04.268711+00
342,Bachelor of Digital Construction Management,BA-DCM,2026-02-22 11:50:04.268711+00
343,Bachelor of Business Analytics and Analysis,BA-BAA,2026-02-22 11:50:04.268711+00
344,English Language Intensive Course for Overseas Students,ELICOS,2026-02-22 11:50:04.268711+00
345,Master of Finance,MA-FIN,2026-02-22 11:50:04.268711+00
346,Diploma of Nursing,HLT54121,2026-02-22 11:50:04.268711+00
347,Bachelor of Information and Communication Technology/Bachelor of Applied Innovation,BB-ICTAIN,2026-02-22 11:50:04.268711+00
350,Certificate III in Health Services Assistance,HLT33115,2026-02-22 11:50:04.268711+00
351,Certificate IV in Information Technology,Gaming Development,2026-02-22 11:50:04.268711+00
352,Bachelor of Laws/Bachelor of Business,BB-LAWBUS1,2026-02-22 11:50:04.268711+00
